SID,Run,Scheduled Onset(s),Actual Onset(s),Scheduled Onset(TR),Actual Onset(TR),Order,Section,Picture
20131104T121801,8,9.5,9.5162,4.75,4.7581,10,A,Fixation
20131104T121801,8,10,10.0163,5,5.0081,10,A,A10_5
20131104T121801,8,12,12.0161,6,6.008,10,A,Fixation
20131104T121801,8,32,32.0142,16,16.0071,10,C,C10_1
20131104T121801,8,34,34.014,17,17.007,10,C,Fixation
20131104T121801,8,34.5,34.5139,17.25,17.257,10,C,C10_2
20131104T121801,8,36.5,36.5139,18.25,18.2569,10,C,Fixation
20131104T121801,8,37,37.0149,18.5,18.5074,10,C,C10_3
20131104T121801,8,39,39.0137,19.5,19.5068,10,C,Fixation
20131104T121801,8,39.5,39.5136,19.75,19.7568,10,C,C10_4
20131104T121801,8,41.5,41.5145,20.75,20.7572,10,C,Fixation
20131104T121801,8,42,42.0134,21,21.0067,10,C,C10_5
20131104T121801,8,44,44.0132,22,22.0066,10,C,Fixation
20131104T121801,8,62.5,62.5125,31.25,31.2563,10,B,B10_1
20131104T121801,8,64.5,64.512,32.25,32.256,10,B,Fixation
20131104T121801,8,65,65.0126,32.5,32.5063,10,B,B10_2
20131104T121801,8,67,67.011,33.5,33.5055,10,B,Fixation
20131104T121801,8,67.5,67.5117,33.75,33.7559,10,B,B10_3
20131104T121801,8,69.5,69.5107,34.75,34.7554,10,B,Fixation
20131104T121801,8,70,70.0108,35,35.0054,10,B,B10_4
20131104T121801,8,72,72.0106,36,36.0053,10,B,Fixation
20131104T121801,8,72.5,72.5105,36.25,36.2553,10,B,B10_5
20131104T121801,8,74.5,74.5112,37.25,37.2556,10,B,Fixation
20131104T121801,8,,81.5,,40.75,10,,End
20131104T121801,9,0,0.01359,0,0.0067949,11,B,B11_1
20131104T121801,9,2,2.0146,1,1.0073,11,B,Fixation
20131104T121801,9,2.5,2.5134,1.25,1.2567,11,B,B11_2
20131104T121801,9,4.5,4.5145,2.25,2.2572,11,B,Fixation
20131104T121801,9,5,5.0132,2.5,2.5066,11,B,B11_3
20131104T121801,9,7,7.013,3.5,3.5065,11,B,Fixation
20131104T121801,9,7.5,7.5129,3.75,3.7565,11,B,B11_4
20131104T121801,9,9.5,9.514,4.75,4.757,11,B,Fixation
20131104T121801,9,10,10.0137,5,5.0069,11,B,B11_5
20131104T121801,9,12,12.0135,6,6.0068,11,B,Fixation
20131104T121801,9,23,23.0116,11.5,11.5058,11,A,A11_1
20131104T121801,9,25,25.0114,12.5,12.5057,11,A,Fixation
20131104T121801,9,25.5,25.5114,12.75,12.7557,11,A,A11_2
20131104T121801,9,27.5,27.5133,13.75,13.7566,11,A,Fixation
20131104T121801,9,28,28.0111,14,14.0056,11,A,A11_3
20131104T121801,9,30,30.0108,15,15.0054,11,A,Fixation
20131104T121801,9,30.5,30.5109,15.25,15.2555,11,A,A11_4
20131104T121801,9,32.5,32.5106,16.25,16.2553,11,A,Fixation
20131104T121801,9,33,33.0108,16.5,16.5054,11,A,A11_5
20131104T121801,9,35,35.0106,17.5,17.5053,11,A,Fixation
20131104T121801,9,52.5,52.51,26.25,26.255,11,C,C11_1
20131104T121801,9,54.5,54.5087,27.25,27.2544,11,C,Fixation
20131104T121801,9,55,55.0085,27.5,27.5042,11,C,C11_2
20131104T121801,9,57,57.0084,28.5,28.5042,11,C,Fixation
20131104T121801,9,57.5,57.5084,28.75,28.7542,11,C,C11_3
20131104T121801,9,59.5,59.5082,29.75,29.7541,11,C,Fixation
20131104T121801,9,60,60.0082,30,30.0041,11,C,C11_4
20131104T121801,9,62,62.0749,31,31.0374,11,C,Fixation
20131104T121801,9,62.5,62.5079,31.25,31.2539,11,C,C11_5
20131104T121801,9,64.5,64.5077,32.25,32.2538,11,C,Fixation
20131104T121801,9,,74.0001,,37,11,,End
20131104T121801,10,0,0.01598,0,0.0079899,4,A,A4_1
20131104T121801,10,2,2.0157,1,1.0079,4,A,Fixation
20131104T121801,10,2.5,2.5156,1.25,1.2578,4,A,A4_2
20131104T121801,10,4.5,4.5169,2.25,2.2585,4,A,Fixation
20131104T121801,10,5,5.0164,2.5,2.5082,4,A,A4_3
20131104T121801,10,7,7.0154,3.5,3.5077,4,A,Fixation
20131104T121801,10,7.5,7.516,3.75,3.758,4,A,A4_4
20131104T121801,10,9.5,9.5163,4.75,4.7581,4,A,Fixation
20131104T121801,10,10,10.0151,5,5.0076,4,A,A4_5
20131104T121801,10,12,12.0161,6,6.008,4,A,Fixation
20131104T121801,10,21,21.014,10.5,10.507,4,B,B4_1
20131104T121801,10,23,23.015,11.5,11.5075,4,B,Fixation
20131104T121801,10,23.5,23.5146,11.75,11.7573,4,B,B4_2
20131104T121801,10,25.5,25.5136,12.75,12.7568,4,B,Fixation
20131104T121801,10,26,26.0134,13,13.0067,4,B,B4_3
20131104T121801,10,28,28.0145,14,14.0073,4,B,Fixation
20131104T121801,10,28.5,28.5143,14.25,14.2571,4,B,B4_4
20131104T121801,10,30.5,30.5132,15.25,15.2566,4,B,Fixation
20131104T121801,10,31,31.0131,15.5,15.5066,4,B,B4_5
20131104T121801,10,33,33.0129,16.5,16.5065,4,B,Fixation
